Bank of Maldives,,,,,
Account Statement,,,,,
Account: 7701234567890,,,,,
,,,,,
Transaction Date,Processed Date,Description,Ref No,Debit,Credit,Balance
01/05/2026,01/05/2026,SALARY TRANSFER PERX PVT LTD,FT2612345,,"30,000.00","42,150.75"
02/05/2026,02/05/2026,POS PURCHASE REDWAVE MALE,PS2698765,"1,250.50",,"40,900.25"
03/05/2026,03/05/2026,LOAN PAYMENT 001-330000123,LP2611111,"3,200.00",,"37,700.25"
05/05/2026,05/05/2026,DHIRAAGU BILL PAY,BP2622222,"499.00",,"37,201.25"
07/05/2026,07/05/2026,CARD PAYMENT 4629XXXX1234,CP2633333,"2,500.00",,"34,701.25"
10/05/2026,10/05/2026,ATM WITHDRAWAL MAJEEDHEE MAGU,AT2644444,"1,000.00",,"33,701.25"
12/05/2026,12/05/2026,POS PURCHASE MARRYBROWN,PS2655555,"310.00",,"33,391.25"
15/05/2026,15/05/2026,TRF TO SAVINGS,TR2666666,"2,000.00",,"31,391.25"
